Cites,Authors,Title,Language,Year,Field,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,J Rivaya-Martínez,ONGOING INDIGENOUS STRUGGLES,English,2023,Humanities,"… : Native Agency, Resilience, and Power in …",books.google.com,https://books.google.com/books?hl=en&lr=&id=WoGREAAAQBAJ&oi=fnd&pg=PA272&ots=HtyXyOZ5mD&sig=1GqxY0fDuJ5g91dP1nslp7rJkFI,,32,2/8/2025 12:57,,,,,,,,,0,0,0,1,2,"A s the chapters in this book exemplify, a growing number of scholars now tell the history of the Western Hemisphere in terms of Native agency and power, problematizing the simplistic …",,"https://scholar.google.com/scholar?q=related:9wektpxPykAJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
4,MN Zedeño,Rethinking the impact of abundance on the rhythm of Bison hunter societies,English,2017,Archaeology,… An Archaeological Analysis of Plenitude. University …,books.google.com,https://books.google.com/books?hl=en&lr=&id=snUmDwAAQBAJ&oi=fnd&pg=PA23&ots=lDOmHTdXnN&sig=uTalbKHudB4qsNK45c7lJhzmVv0,"https://scholar.google.com/scholar?cites=2090529163884652929&as_sdt=805&sciodt=0,3&hl=en",85,2/10/2025 13:23,,,,,,,,,4,0.5,4,1,8,"Hear now, you Chief of Mountains, you who stand foremost: listen, I say, to the mourning of the people. Now are the days truly become evil and are not as they were in ancient times …",,"https://scholar.google.com/scholar?q=related:gWnwzTINAx0J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,"BA BELLORADO, TC WINDES",Revisiting the Depopulation of the Northern,English,2024,Humanities,… and American Indian …,University Press of Colorado,,,56,2/8/2025 16:41,CITATION,,,,,,,,0,0,0,2,1,,,"https://scholar.google.com/scholar?q=related:g99UfVEFjkUJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
8,"M Leclerc, E Grono, S Bedford, M Spriggs","Assessment of the technological variability in decorated Lapita pottery from Teouma, Vanuatu, by petrography and LA-ICP-MS: implications for Lapita social …",English,2019,Anthropology,… and Anthropological Sciences,Springer,https://link.springer.com/article/10.1007/s12520-019-00862-z,"https://scholar.google.com/scholar?cites=17273434965489980359&as_sdt=805&sciodt=0,3&hl=en",14,2/8/2025 12:45,,10.1007/s12520-019-00862-z,,,,,,,8,1.33,2,4,6,This paper examines the social implications of the results from the petrographic and chemical analysis by laser ablation inductively coupled plasma mass spectrometry of …,,"https://scholar.google.com/scholar?q=related:x5PXIJWRt-8J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
10,"AA Stekolnikov, M Shamsi, A Saboori, ...","Distribution of chigger mites (Acari: Trombiculidae) over hosts, parasitopes, collection localities, and seasons in northern Iran",English,2022,Biology,… and Applied Acarology,Springer,https://link.springer.com/article/10.1007/s10493-021-00680-w,"https://scholar.google.com/scholar?cites=17401831364031549835&as_sdt=805&sciodt=0,3&hl=en",6,2/8/2025 12:45,,10.1007/s10493-021-00680-w,,,,,,,10,3.33,3,4,3,"We studied the distribution of chigger mite species over mammal hosts, attachment sites on the host body, habitats, and seasons in Iran. The study was based on 2155 specimens of 36 …",,"https://scholar.google.com/scholar?q=related:ixFaPm25f_EJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
7,"Z Kozenko, Y Kozenko, K Kozenko, N Ivanova, ...",Marketing instrumentarium of provision of food security,English,2017,Social Science,… and Clustering for …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-45462-7_21,"https://scholar.google.com/scholar?cites=11019380037314822733&as_sdt=805&sciodt=0,3&hl=en",126,2/9/2025 10:40,,10.1007/978-3-319-45462-7_21,,,,,,,7,0.88,1,5,8,The purpose of the article is to develop marketing instrumentarium of provision of food security. The work uses the proprietary marketing methodology of evaluation of food security …,,"https://scholar.google.com/scholar?q=related:TUIuwcKz7JgJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
10,"A Arabiun, E Hosseini, K Mahmoodi, ...","An investigation of the socio-cultural impacts of the digital transformation in developed, developing, and middle: Africa and Asia pacific",English,2023,Social Science,… and Innovation Capacity …,igi-global.com,https://www.igi-global.com/chapter/an-investigation-of-the-socio-cultural-impacts-of-the-digital-transformation-in-developed-developing-and-middle/321901,"https://scholar.google.com/scholar?cites=18331708384392662317&as_sdt=805&sciodt=0,3&hl=en",11,2/8/2025 12:45,,,,,,,,,10,5,3,4,2,"The fact that the emergence, popularity, widespread accessibility, and extensive utilization of digital technologies has revolutionized life in the early third millennium goes without saying …",https://www.researchgate.net/profile/Mohsen-Brahmi/publication/369968458_An_Investigation_of_the_Socio-Cultural_Impacts_of_the_Digital_Transformation_in_Developed_Developing_and_Middle_Africa_and_Asia_Pacific/links/66ec83396b101f6fa4f2f3ca/An-Investigation-of-the-Socio-Cultural-Impacts-of-the-Digital-Transformation-in-Developed-Developing-and-Middle-Africa-and-Asia-Pacific.pdf,"https://scholar.google.com/scholar?q=related:LU3GaaZPZ_4J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,"M Vander Linden, C Drost, J Gaastra, ...",Simulating and Testing the Spread of Early Farming across the Adriatic Basin,English,2022,Archaeology,… and Migration in …,books.google.com,https://books.google.com/books?hl=en&lr=&id=DUpbEAAAQBAJ&oi=fnd&pg=PT177&ots=0mrNe69i-D&sig=6zPjGTPzryfg4LRbQhliuG1j4rE,,59,2/8/2025 16:41,,,,,,,,,0,0,0,4,3,The spread of animal and plant domesticates across Europe offers a good laboratory of the many fortunes of migration and mobility in archaeology. From all mighty deus ex machina …,,"https://scholar.google.com/scholar?q=related:s2gbbKbhkP0J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,"DA Muenchrath, JA Sandor, JB Norton, ...",Maize experiment in a traditional Zuni agroecosystem: nutrient composition,English,2023,Agronomy,… and Sustainable Food …,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/21683565.2022.2135670,,11,2/8/2025 12:45,,10.1080/21683565.2022.2135670,,,,,,,0,0,0,4,2,"Maize has sustained the Zuni and other peoples of the arid American Southwest for more than four millennia. In Zuni dryland agriculture, fields on alluvial fans and other valley-edge …",https://www.tandfonline.com/doi/pdf/10.1080/21683565.2022.2135670,"https://scholar.google.com/scholar?q=related:U7BX7U13fVIJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
15,"A Torvinen, M Hegmon, AP Kinzig, ...",11. Transformation without Collapse: Two Cases from the US Southwest,English,2015,Archaeology,… and transformation in …,books.google.com,https://books.google.com/books?hl=en&lr=&id=iMEhCwAAQBAJ&oi=fnd&pg=PA262&ots=CKy2FFpsC4&sig=OcaGoOMfXtzjZKeLC6XxTi2CHHQ,"https://scholar.google.com/scholar?cites=1182553606640724121&as_sdt=805&sciodt=0,3&hl=en",40,2/8/2025 17:05,,,,,,,,,15,1.5,4,4,10,Archaeologists now recognize that many societies undergo major transformations that do not fit the classic model of collapse. Our comparative study of cases in the US Southwest …,https://www.academia.edu/download/30889923/Torvinen_etal_SIU_Academia.pdf,"https://scholar.google.com/scholar?q=related:mWitYz1GaRAJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
3,"E Paliou, A Bevan",Computational Approaches to Minoan Settlement Interaction and Growth,English,2017,Archaeology,… and Urbanism: New Perspectives on an …,books.google.com,https://books.google.com/books?hl=en&lr=&id=2jooDwAAQBAJ&oi=fnd&pg=PA266&ots=VLRWkWbZ7w&sig=H-vJpygC3w2n-0M30bWz68yXrEc,"https://scholar.google.com/scholar?cites=4777767865147792893&as_sdt=805&sciodt=0,3&hl=en",54,2/8/2025 17:05,,,,,,,,,3,0.38,2,2,8,Several recent approaches to Minoan urbanism have revisited the kinds of formal models and analyses first developed in fields such as urban studies or statistical physics. The goal …,,"https://scholar.google.com/scholar?q=related:_R1pRY8KTkIJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
2,SC Ryan,Integration and Disintegration,English,2019,Archaeology,… Approaches to Population Aggregation and Early …,degruyter.com,https://www.degruyter.com/document/doi/10.1515/9781438472782-015/pdf?licenseType=restricted,"https://scholar.google.com/scholar?cites=8749492807787622028&as_sdt=805&sciodt=0,3&hl=en",67,2/8/2025 17:05,,10.1515/9781438472782-015,,,,,,,2,0.33,2,1,6,"This chapter raises the question of how the built environment reflects identity formation and dissolution during periods of community integration and disintegration. Specifically, this will …",,"https://scholar.google.com/scholar?q=related:jC4EFVpxbHkJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
48,"MC Nelson, M Hegmon, KW Kintigh, ...",Long-term vulnerability and resilience: three examples from archaeological study in the southwestern United States and northern Mexico,English,2012,Archaeology,… change: Answers from …,academia.edu,https://www.academia.edu/download/63757157/Nelson_et_al_2012_Long_Term_Vulnerability_and_Resilience.pdf,"https://scholar.google.com/scholar?cites=7292148594275255687&as_sdt=805&sciodt=0,3&hl=en",67,2/13/2025 9:01,PDF,,,,,,,,48,3.69,12,4,13,"Mexico (figure 8.1) that collectively spans over a millennium. These examples address climate “hazards” directly, as well as the kinds of social pathways that can increase …",https://www.academia.edu/download/63757157/Nelson_et_al_2012_Long_Term_Vulnerability_and_Resilience.pdf,"https://scholar.google.com/scholar?q=related:hwUk04LqMmUJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
5,"LA Bates, EA Bollwerk, JE Galle, FD Neiman",Archaeological data in the cloud: Collaboration and accessibility with the Digital Archaeological Archive of Comparative Slavery (DAACS),English,2020,Archaeology,… Data in the Digital Age: New …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-24925-0_5,"https://scholar.google.com/scholar?cites=5510021953417900613&as_sdt=805&sciodt=0,3&hl=en",15,2/8/2025 12:57,,10.1007/978-3-030-24925-0_5,,,,,,,5,1,1,4,5,Abstract The burgeoning Open Science movement has inspired the growth of a variety of archaeological and anthropological digital data repositories. Many of these repositories …,https://www.researchgate.net/profile/Smiljana-Antonijevic/publication/336988968_Digital_Workflow_in_the_Humanities_and_Social_Sciences_A_Data_Ethnography/links/5ebc4119458515626ca7e034/Digital-Workflow-in-the-Humanities-and-Social-Sciences-A-Data-Ethnography.pdf#page=105,"https://scholar.google.com/scholar?q=related:RfIT9sWHd0wJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
3,"KA Jayyab, E Gibbon",Stability and Change in Potting Communities across Mesopotamia from the Early Ubaid to Late Chalcolithic 1. New Insights from Multivariate Statistics and …,English,2022,Archaeology,… de préhistoire et de protohistoire de …,journals.openedition.org,https://journals.openedition.org/paleorient/1502,"https://scholar.google.com/scholar?cites=9031530536524734720&as_sdt=805&sciodt=0,3&hl=en",78,2/9/2025 10:40,HTML,,,,,,,,3,1,2,2,3,In this work we examine developments in ceramic use through the Ubaid and Late Chalcolithic 1 periods in Greater Mesopotamia. Our paper is a heuristic study of ceramic …,https://journals.openedition.org/paleorient/1502,"https://scholar.google.com/scholar?q=related:AGGm_ytxVn0J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
2,"CR Rellán, S Cassen, AF Carvalho, ...",Desenredando el caos. Un análisis de la circulación de los adornos de piedra verde durante la prehistoria reciente de la península Ibérica a través de la investigación …,English,2023,Archaeology,… de Prehistoria y …,revistaseug.ugr.es,https://revistaseug.ugr.es/index.php/cpag/article/view/28274,"https://scholar.google.com/scholar?cites=8060105166861875435&as_sdt=805&sciodt=0,3&hl=en",13,2/8/2025 12:45,,,,,,,,,2,1,1,4,2,"Las dificultades para determinar su número real, el material concreto en el que fueron realizados o la cronología exacta de su deposición, hace de los objetos de adorno un …",https://revistaseug.ugr.es/index.php/cpag/article/download/28274/26771,"https://scholar.google.com/scholar?q=related:67gX6_E-228J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
12,"MB Eppinga, K Siteur, M Baudena, ...",Long-term transients help explain regime shifts in consumer-renewable resource systems,English,2021,Environmental Science,… Earth &Environment,nature.com,https://www.nature.com/articles/s43247-021-00112-y,"https://scholar.google.com/scholar?cites=18379005361090462657&as_sdt=805&sciodt=0,3&hl=en",18,2/8/2025 12:57,HTML,,,,,,,,12,3,3,4,4,"As planetary boundaries loom, there is an urgent need to develop sustainable equilibriums between societies and the resources they consume, thereby avoiding regime shifts to …",https://www.nature.com/articles/s43247-021-00112-y,"https://scholar.google.com/scholar?q=related:wQPM8P9XD_8J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
6,"H Ali, M Lande",Data-driven decisions in prototyping and product development: a framework for uncertainty and decision-making,English,2019,Engineering and Design,"… Engineering Congress and Exposition, Salt Lake …",researchgate.net,https://www.researchgate.net/profile/Hadi-Ali-12/publication/338731474_Data-Driven_Decisions_in_Prototyping_and_Product_Development_A_Framework_for_Uncertainty_and_Decision-Making/links/5f1ee15792851cd5fa4b3859/Data-Driven-Decisions-in-Prototyping-and-Product-Development-A-Framework-for-Uncertainty-and-Decision-Making.pdf,"https://scholar.google.com/scholar?cites=16676968690837754515&as_sdt=805&sciodt=0,3&hl=en",35,2/8/2025 16:41,PDF,,,,,,,,6,1,3,2,6,"We propose a framework, established in the literature on uncertainty and decision-making, that guides the development of effective prototypes that inform the design of products and …",https://www.researchgate.net/profile/Hadi-Ali-12/publication/338731474_Data-Driven_Decisions_in_Prototyping_and_Product_Development_A_Framework_for_Uncertainty_and_Decision-Making/links/5f1ee15792851cd5fa4b3859/Data-Driven-Decisions-in-Prototyping-and-Product-Development-A-Framework-for-Uncertainty-and-Decision-Making.pdf,"https://scholar.google.com/scholar?q=related:kxKye6p-cOcJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,"RM Byrd, JT Watson, ...",Integrating Biological Affiliation Evidence into the Cultural Affiliation Process in the Southwest,English,2019,Archaeology,… FOR MIGRATION AND …,search.proquest.com,https://search.proquest.com/openview/fead429215df1e5b8d5599dd849df199/1.pdf?pq-origsite=gscholar&cbl=18750&diss=y#page=192,,11,2/8/2025 12:45,,,,,,,,,0,0,0,3,6,The primary goal of this study was to develop a tool to estimate biological affiliation in archaeological human skeletal remains from sites in the North American Southwest to …,https://core.ac.uk/download/pdf/222806267.pdf#page=191,"https://scholar.google.com/scholar?q=related:Io7Z1hOa_o4J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,"SR Schloen, MC Prosser",Publication: Where Data Comes to Life!,English,2023,Computer/Data Science,… for Scholarly Research: Case Studies Using …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-46696-0_9,,26,2/8/2025 12:57,,10.1007/978-3-031-46696-0_9,,,,,,,0,0,0,2,2,The architecture of the OCHRE platform and its item-based approach to knowledge representation allows digital publication to be reimagined. Data can be published and re …,,"https://scholar.google.com/scholar?q=related:Q2GyCjyTDj8J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
10,"V Kase, P Heřmánková, A Sobotková",Classifying Latin inscriptions of the Roman empire: A machine-learning approach,English,2021,Archaeology,… Humanities Research 2021,pure.au.dk,https://pure.au.dk/portal/en/publications/classifying-latin-inscriptions-of-the-roman-empire-a-machine-lear,"https://scholar.google.com/scholar?cites=17921247547927428727&as_sdt=805&sciodt=0,3&hl=en",84,2/10/2025 13:23,,,,,,,,,10,2.5,3,3,4,Large-scale synthetic research in ancient history is often hindered by the incompatibility of taxonomies used by different digital datasets. Using the example of enriching the Latin …,https://pure.au.dk/portal/files/273708355/short_paper12.pdf,"https://scholar.google.com/scholar?q=related:d_4NqrEPtfgJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
10,"V Kase, P Heřmánková, A Sobotková",Classifying Latin inscriptions of the Roman empire: A machine-learning approach,English,2021,Archaeology,… Humanities Research 2021,pure.au.dk,https://pure.au.dk/portal/en/publications/classifying-latin-inscriptions-of-the-roman-empire-a-machine-lear,"https://scholar.google.com/scholar?cites=17921247547927428727&as_sdt=805&sciodt=0,3&hl=en",30,2/8/2025 16:41,,,,,,,,,10,2.5,3,3,4,Large-scale synthetic research in ancient history is often hindered by the incompatibility of taxonomies used by different digital datasets. Using the example of enriching the Latin …,https://pure.au.dk/portal/files/273708355/short_paper12.pdf,"https://scholar.google.com/scholar?q=related:d_4NqrEPtfgJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
10,"V Kase, P Heřmánková, A Sobotková",Classifying Latin inscriptions of the Roman empire: A machine-learning approach,English,2021,Archaeology,… Humanities Research 2021,pure.au.dk,https://pure.au.dk/portal/en/publications/classifying-latin-inscriptions-of-the-roman-empire-a-machine-lear,"https://scholar.google.com/scholar?cites=17921247547927428727&as_sdt=805&sciodt=0,3&hl=en",14,2/8/2025 12:57,,,,,,,,,10,2.5,3,3,4,Large-scale synthetic research in ancient history is often hindered by the incompatibility of taxonomies used by different digital datasets. Using the example of enriching the Latin …,https://pure.au.dk/portal/files/273708355/short_paper12.pdf,"https://scholar.google.com/scholar?q=related:d_4NqrEPtfgJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,"N Taylor, C Rinne, JP Brozio, J Kneisel, ...",Scales of Abstraction: The Kiel Conceptual Approach from Heterogeneous Data to Interpretations,English,2024,Archaeology,… in Ancient Europe,library.oapen.org,https://library.oapen.org/bitstream/handle/20.500.12657/88368/978-3-031-53314-3.pdf?sequence=1#page=29,,30,2/8/2025 16:41,PDF,,,,,,,,0,0,0,5,1,"The topic of transformations in the past requires research across the kind of broad timeframe which only projects with an archaeological, longue durée approach can tackle; an …",https://library.oapen.org/bitstream/handle/20.500.12657/88368/978-3-031-53314-3.pdf?sequence=1#page=29,"https://scholar.google.com/scholar?q=related:8ZHLLCq20d8J:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
48,"SW Kansa, L Atici, EC Kansa, ...","Archaeological analysis in the information age: Guidelines for maximizing the reach, comprehensiveness, and longevity of data",English,2020,Archaeology,… in Archaeological Practice,cambridge.org,https://www.cambridge.org/core/journals/advances-in-archaeological-practice/article/archaeological-analysis-in-the-information-age-guidelines-for-maximizing-the-reach-comprehensiveness-and-longevity-of-data/ECC4B731D8A8DD374D1461ADE99ACA5D,"https://scholar.google.com/scholar?cites=14521264573920701003&as_sdt=805&sciodt=0,3&hl=en",3,2/8/2025 12:57,,,,,,,,,48,9.6,12,4,5,"With the advent of the Web, increased emphasis on “research data management,” and innovations in reproducible research practices, scholars have more incentives and …",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/ECC4B731D8A8DD374D1461ADE99ACA5D/S2326376819000366a.pdf/div-class-title-archaeological-analysis-in-the-information-age-guidelines-for-maximizing-the-reach-comprehensiveness-and-longevity-of-data-div.pdf,"https://scholar.google.com/scholar?q=related:S-oBajHlhckJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
